Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MPDX In-n-out,Chrome 69.0.3497.100,,2018-10-17 15:50:05,2018-10-17 15:50:47,41.777s,PASSED
,,,,,,
Test Cases/MPDX-login,Chrome 69.0.3497.100,,2018-10-17 15:50:05,2018-10-17 15:50:34,29.246s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-17 15:50:06,2018-10-17 15:50:10,4.697s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-17 15:50:10,2018-10-17 15:50:13,2.820s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 15:50:13,2018-10-17 15:50:15,2.111s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 15:50:15,2018-10-17 15:50:25,9.906s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-17 15:50:25,2018-10-17 15:50:28,3.194s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 15:50:28,2018-10-17 15:50:32,3.846s,PASSED
,,,,,,
Test Cases/MPDX-logout,Chrome 69.0.3497.100,,2018-10-17 15:50:34,2018-10-17 15:50:47,12.232s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 15:50:34,2018-10-17 15:50:34,0.002s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-10-17 15:50:34,2018-10-17 15:50:36,2.119s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-17 15:50:36,2018-10-17 15:50:39,2.077s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 15:50:39,2018-10-17 15:50:41,2.708s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-17 15:50:41,2018-10-17 15:50:43,2.043s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-17 15:50:43,2018-10-17 15:50:44,1.165s,PASSED
